Sequence,Trial,Frame,Value
231027_S103_obj_01_grasp_13,trial_0,mas_5,0.24
231027_S103_obj_01_grasp_13,trial_0,mas_6,0.26
231027_S103_obj_01_grasp_13,trial_0,mas_7,0.26
231027_S103_obj_01_grasp_13,trial_0,mas_11,0.25
231027_S103_obj_01_grasp_13,trial_0,mas_12,0.26
231027_S103_obj_01_grasp_13,trial_0,mas_13,0.23
231027_S103_obj_01_grasp_13,trial_0,mas_14,0.26
231027_S103_obj_01_grasp_13,trial_0,mas_44,0.27
231027_S103_obj_01_grasp_13,trial_0,mas_109,0.26
231027_S103_obj_01_grasp_13,trial_0,sub1_6,0.34
231027_S103_obj_01_grasp_13,trial_0,sub1_12,0.35
231027_S103_obj_01_grasp_13,trial_0,sub1_69,0.49
231027_S103_obj_01_grasp_13,trial_0,sub1_90,0.24
231027_S103_obj_01_grasp_13,trial_0,sub1_91,0.25
231027_S103_obj_01_grasp_13,trial_0,sub1_92,0.25
231027_S103_obj_01_grasp_13,trial_0,sub1_98,0.32
231027_S103_obj_01_grasp_13,trial_0,sub1_99,0.35
231027_S103_obj_01_grasp_13,trial_0,sub1_100,0.36
231027_S103_obj_01_grasp_13,trial_0,sub1_109,0.29
231027_S103_obj_01_grasp_13,trial_0,sub2_12,0.43
231027_S103_obj_01_grasp_13,trial_0,sub2_69,0.43
231027_S103_obj_01_grasp_13,trial_0,sub2_109,0.35
231027_S103_obj_01_grasp_13,trial_0,sub3_12,0.37
231027_S103_obj_01_grasp_13,trial_0,sub3_69,0.34
231027_S103_obj_01_grasp_13,trial_0,sub3_99,0.32
231027_S103_obj_01_grasp_13,trial_0,sub3_100,0.36
231027_S103_obj_01_grasp_13,trial_0,sub3_109,0.33
231027_S103_obj_01_grasp_19,trial_0,mas_7,0.18
231027_S103_obj_01_grasp_19,trial_0,mas_14,0.25
231027_S103_obj_01_grasp_19,trial_0,mas_22,0.3
231027_S103_obj_01_grasp_19,trial_0,mas_34,0.27
231027_S103_obj_01_grasp_19,trial_0,mas_37,0.22
231027_S103_obj_01_grasp_19,trial_0,mas_38,0.23
231027_S103_obj_01_grasp_19,trial_0,mas_44,0.29
