Trial,Seq,Value
trial_0,mas_0,0.29
trial_0,mas_2,0.28
trial_0,mas_3,0.29
trial_0,mas_4,0.32
trial_0,mas_5,0.37
trial_0,mas_6,0.37
trial_0,mas_7,0.39
trial_0,mas_8,0.36
trial_0,mas_11,0.38
trial_0,mas_12,0.36
trial_0,mas_15,0.39
trial_0,mas_16,0.4
trial_0,mas_17,0.36
trial_0,mas_20,0.42
trial_0,mas_21,0.41
trial_0,mas_23,0.51
trial_0,mas_24,0.47
trial_0,mas_29,0.51
trial_0,mas_31,0.47
trial_0,mas_32,0.48
trial_0,mas_35,0.48
trial_0,mas_41,0.55
trial_0,mas_42,0.48
trial_0,mas_49,0.59
trial_0,mas_52,0.56
trial_0,mas_54,0.51
trial_0,mas_55,0.44
trial_0,mas_56,0.43
trial_0,mas_60,0.4
trial_0,mas_61,0.34
trial_0,mas_62,0.3
trial_0,mas_63,0.28
trial_0,mas_64,0.29
trial_0,mas_66,0.31
trial_0,mas_67,0.26
trial_0,mas_68,0.27
trial_0,mas_70,0.32
trial_0,mas_73,0.34
trial_0,mas_74,0.33
trial_0,mas_75,0.33
trial_0,mas_78,0.28
trial_0,mas_81,0.29
trial_0,mas_82,0.3
trial_0,mas_86,0.3
trial_0,mas_87,0.32
trial_0,mas_88,0.33
trial_0,mas_89,0.3
trial_0,mas_90,0.29
trial_0,mas_91,0.26
trial_0,mas_92,0.25
trial_0,mas_94,0.27
trial_0,mas_98,0.28
trial_0,mas_100,0.28
trial_0,mas_101,0.29
trial_0,mas_108,0.35
trial_0,mas_109,0.35
trial_0,mas_111,0.37
trial_0,mas_112,0.32
trial_0,mas_113,0.32
trial_0,mas_117,0.34
trial_0,mas_124,0.37
trial_0,mas_126,0.49
trial_0,mas_131,0.61
trial_0,mas_134,0.59
trial_0,mas_138,0.57
trial_0,mas_140,0.57
trial_0,mas_141,0.56
trial_0,mas_144,0.37
trial_0,mas_146,0.36
trial_0,mas_152,0.39
trial_0,mas_154,0.4
trial_0,mas_155,0.35
trial_0,mas_156,0.45
trial_0,sub1_0,0.31
trial_0,sub1_2,0.28
trial_0,sub1_4,0.24
trial_0,sub1_5,0.31
trial_0,sub1_6,0.29
trial_0,sub1_7,0.3
trial_0,sub1_8,0.28
trial_0,sub1_9,0.29
trial_0,sub1_10,0.28
trial_0,sub1_11,0.28
trial_0,sub1_12,0.27
trial_0,sub1_15,0.27
trial_0,sub1_16,0.27
trial_0,sub1_17,0.28
trial_0,sub1_21,0.26
trial_0,sub1_22,0.26
trial_0,sub1_23,0.25
trial_0,sub1_24,0.26
trial_0,sub1_26,0.25
trial_0,sub1_27,0.24
trial_0,sub1_30,0.24
trial_0,sub1_31,0.24
trial_0,sub1_32,0.23
trial_0,sub1_35,0.24
trial_0,sub1_41,0.27
trial_0,sub1_42,0.3
trial_0,sub1_52,0.35
trial_0,sub1_54,0.33
trial_0,sub1_55,0.21
trial_0,sub1_56,0.22
trial_0,sub1_57,0.23
trial_0,sub1_60,0.23
trial_0,sub1_61,0.24
trial_0,sub1_63,0.25
trial_0,sub1_64,0.23
trial_0,sub1_67,0.21
trial_0,sub1_68,0.22
trial_0,sub1_70,0.21
trial_0,sub1_72,0.23
trial_0,sub1_73,0.21
trial_0,sub1_74,0.23
trial_0,sub1_75,0.21
trial_0,sub1_76,0.21
trial_0,sub1_77,0.2
trial_0,sub1_78,0.23
trial_0,sub1_80,0.19
trial_0,sub1_81,0.19
trial_0,sub1_82,0.21
trial_0,sub1_85,0.21
trial_0,sub1_86,0.21
trial_0,sub1_88,0.18
trial_0,sub1_90,0.19
trial_0,sub1_91,0.2
trial_0,sub1_92,0.22
trial_0,sub1_94,0.25
trial_0,sub1_96,0.28
trial_0,sub1_98,0.27
trial_0,sub1_101,0.3
trial_0,sub1_108,0.32
trial_0,sub1_109,0.27
trial_0,sub1_111,0.25
trial_0,sub1_112,0.26
trial_0,sub1_113,0.25
trial_0,sub1_114,0.25
trial_0,sub1_124,0.37
trial_0,sub1_126,0.39
trial_0,sub1_131,0.32
trial_0,sub1_134,0.31
trial_0,sub1_136,0.23
trial_0,sub1_138,0.24
trial_0,sub1_140,0.26
trial_0,sub1_141,0.28
trial_0,sub1_142,0.33
trial_0,sub1_143,0.28
trial_0,sub1_144,0.25
trial_0,sub1_146,0.27
trial_0,sub1_147,0.28
trial_0,sub1_148,0.31
trial_0,sub1_152,0.33
trial_0,sub1_154,0.3
trial_0,sub1_155,0.29
trial_0,sub1_156,0.34
trial_0,sub2_0,0.3
trial_0,sub2_1,0.31
trial_0,sub2_2,0.25
trial_0,sub2_3,0.25
trial_0,sub2_4,0.24
trial_0,sub2_5,0.27
trial_0,sub2_6,0.27
trial_0,sub2_7,0.28
trial_0,sub2_8,0.25
trial_0,sub2_11,0.26
trial_0,sub2_12,0.26
trial_0,sub2_15,0.3
trial_0,sub2_16,0.29
trial_0,sub2_17,0.32
trial_0,sub2_18,0.29
trial_0,sub2_20,0.29
trial_0,sub2_21,0.28
trial_0,sub2_23,0.28
trial_0,sub2_24,0.27
