Trial,Seq,Value
trial_0,mas_7,0.18
trial_0,mas_14,0.25
trial_0,mas_22,0.3
trial_0,mas_34,0.27
trial_0,mas_36,0.3
trial_0,mas_37,0.22
trial_0,mas_38,0.23
trial_0,mas_44,0.29
trial_0,mas_46,0.31
trial_0,mas_48,0.31
trial_0,mas_49,0.35
trial_0,mas_50,0.32
trial_0,mas_52,0.33
trial_0,mas_55,0.21
trial_0,mas_56,0.25
trial_0,mas_57,0.25
trial_0,mas_58,0.25
trial_0,mas_59,0.26
trial_0,mas_61,0.21
trial_0,mas_62,0.24
trial_0,mas_63,0.25
trial_0,mas_88,0.24
trial_0,mas_94,0.28
trial_0,mas_99,0.24
trial_0,sub1_7,0.34
trial_0,sub1_21,0.55
trial_0,sub1_52,0.41
trial_0,sub1_55,0.34
trial_0,sub1_56,0.4
trial_0,sub1_57,0.4
trial_0,sub1_61,0.66
trial_0,sub1_62,0.59
trial_0,sub1_63,0.76
trial_0,sub1_68,0.57
trial_0,sub1_94,0.45
trial_0,sub2_1,0.45
trial_0,sub2_3,0.53
trial_0,sub2_5,0.55
trial_0,sub2_6,0.57
trial_0,sub2_7,0.49
trial_0,sub2_18,0.55
trial_0,sub2_19,0.62
trial_0,sub2_21,0.6
trial_0,sub2_24,1.0
trial_0,sub2_36,0.69
trial_0,sub2_52,0.66
trial_0,sub2_55,0.81
trial_0,sub2_56,0.93
trial_0,sub2_57,0.55
trial_0,sub2_61,0.67
trial_0,sub2_62,0.67
trial_0,sub2_63,0.9
trial_0,sub2_64,0.54
trial_0,sub2_68,0.47
trial_0,sub2_88,0.65
trial_0,sub2_94,0.86
trial_0,sub3_6,0.28
trial_0,sub3_7,0.3
trial_0,sub3_10,0.33
trial_0,sub3_14,0.31
trial_0,sub3_18,0.35
trial_0,sub3_19,0.31
trial_0,sub3_21,0.25
trial_0,sub3_24,0.32
trial_0,sub3_37,0.3
trial_0,sub3_38,0.33
trial_0,sub3_48,0.41
trial_0,sub3_49,0.38
trial_0,sub3_50,0.36
trial_0,sub3_55,0.29
trial_0,sub3_56,0.35
trial_0,sub3_62,0.27
trial_0,sub3_63,0.29
trial_0,sub3_68,0.27
trial_0,sub3_94,0.37
trial_0,sub3_99,0.38
