Trial,Seq,Value
trial_0,mas_0,0.25
trial_0,mas_1,0.28
trial_0,mas_2,0.37
trial_0,mas_3,0.22
trial_0,mas_4,0.23
trial_0,mas_6,0.22
trial_0,mas_9,0.24
trial_0,mas_11,0.24
trial_0,mas_12,0.25
trial_0,mas_13,0.32
trial_0,mas_19,0.31
trial_0,mas_30,0.26
trial_0,mas_32,0.28
trial_0,mas_70,0.33
trial_0,mas_71,0.33
trial_0,mas_72,0.36
trial_0,mas_75,0.31
trial_0,mas_78,0.28
trial_0,mas_79,0.26
trial_0,mas_80,0.26
trial_0,mas_81,0.31
trial_0,mas_82,0.35
trial_0,mas_84,0.4
trial_0,mas_92,0.21
trial_0,mas_93,0.25
trial_0,mas_99,0.25
trial_0,sub1_0,0.29
trial_0,sub1_1,0.32
trial_0,sub1_2,0.29
trial_0,sub1_3,0.25
trial_0,sub1_4,0.15
trial_0,sub1_6,0.19
trial_0,sub1_9,0.22
trial_0,sub1_11,0.21
trial_0,sub1_12,0.26
trial_0,sub1_13,0.28
trial_0,sub1_14,0.25
trial_0,sub1_19,0.29
trial_0,sub1_30,0.27
trial_0,sub1_32,0.28
trial_0,sub1_70,0.34
trial_0,sub1_71,0.23
trial_0,sub1_72,0.25
trial_0,sub1_75,0.28
trial_0,sub1_82,0.3
trial_0,sub1_84,0.3
trial_0,sub1_86,0.23
trial_0,sub1_87,0.35
trial_0,sub1_88,0.22
trial_0,sub2_0,0.23
trial_0,sub2_1,0.34
trial_0,sub2_2,0.43
trial_0,sub2_4,0.76
trial_0,sub2_6,0.82
trial_0,sub2_9,0.72
trial_0,sub2_11,0.59
trial_0,sub2_12,0.56
trial_0,sub2_13,0.5
trial_0,sub2_14,0.56
trial_0,sub2_19,0.66
trial_0,sub2_32,0.61
trial_0,sub2_70,0.73
trial_0,sub2_71,0.59
trial_0,sub2_72,0.58
trial_0,sub2_75,0.38
trial_0,sub2_82,0.37
trial_0,sub2_87,0.51
trial_0,sub2_99,0.55
trial_0,sub3_0,0.26
trial_0,sub3_1,0.3
trial_0,sub3_2,0.3
trial_0,sub3_3,0.3
trial_0,sub3_4,0.27
trial_0,sub3_6,0.28
trial_0,sub3_7,0.28
trial_0,sub3_9,0.3
trial_0,sub3_11,0.26
trial_0,sub3_12,0.28
trial_0,sub3_13,0.26
trial_0,sub3_14,0.22
trial_0,sub3_19,0.26
trial_0,sub3_30,0.22
trial_0,sub3_32,0.32
trial_0,sub3_33,0.29
trial_0,sub3_51,0.25
trial_0,sub3_68,0.26
trial_0,sub3_70,0.3
trial_0,sub3_71,0.28
trial_0,sub3_72,0.3
trial_0,sub3_75,0.33
trial_0,sub3_78,0.34
trial_0,sub3_79,0.33
trial_0,sub3_82,0.32
trial_0,sub3_84,0.27
trial_0,sub3_87,0.28
trial_0,sub3_93,0.49
trial_0,sub3_99,0.34
