Sequence,Trial,Frame,Value
231005_S59_obj_01_grasp_22,trial_0,mas_1,0.2
231005_S59_obj_01_grasp_22,trial_0,mas_2,0.2
231005_S59_obj_01_grasp_22,trial_0,mas_3,0.17
231005_S59_obj_01_grasp_22,trial_0,mas_5,0.19
231005_S59_obj_01_grasp_22,trial_0,mas_6,0.19
231005_S59_obj_01_grasp_22,trial_0,mas_7,0.21
231005_S59_obj_01_grasp_22,trial_0,mas_8,0.24
231005_S59_obj_01_grasp_22,trial_0,mas_10,0.25
231005_S59_obj_01_grasp_22,trial_0,mas_11,0.26
231005_S59_obj_01_grasp_22,trial_0,mas_17,0.22
231005_S59_obj_01_grasp_22,trial_0,mas_19,0.24
231005_S59_obj_01_grasp_22,trial_0,mas_20,0.31
231005_S59_obj_01_grasp_22,trial_0,mas_21,0.32
231005_S59_obj_01_grasp_22,trial_0,mas_22,0.29
231005_S59_obj_01_grasp_22,trial_0,mas_23,0.35
231005_S59_obj_01_grasp_22,trial_0,mas_24,0.29
231005_S59_obj_01_grasp_22,trial_0,mas_25,0.28
231005_S59_obj_01_grasp_22,trial_0,mas_26,0.27
231005_S59_obj_01_grasp_22,trial_0,mas_27,0.28
231005_S59_obj_01_grasp_22,trial_0,mas_28,0.33
231005_S59_obj_01_grasp_22,trial_0,mas_29,0.31
231005_S59_obj_01_grasp_22,trial_0,mas_30,0.29
231005_S59_obj_01_grasp_22,trial_0,mas_31,0.26
231005_S59_obj_01_grasp_22,trial_0,mas_32,0.25
231005_S59_obj_01_grasp_22,trial_0,mas_41,0.27
231005_S59_obj_01_grasp_22,trial_0,mas_44,0.26
231005_S59_obj_01_grasp_22,trial_0,mas_52,0.26
231005_S59_obj_01_grasp_22,trial_0,mas_54,0.26
231005_S59_obj_01_grasp_22,trial_0,mas_56,0.31
231005_S59_obj_01_grasp_22,trial_0,mas_57,0.3
231005_S59_obj_01_grasp_22,trial_0,mas_58,0.32
231005_S59_obj_01_grasp_22,trial_0,mas_61,0.33
231005_S59_obj_01_grasp_22,trial_0,mas_63,0.21
231005_S59_obj_01_grasp_22,trial_0,mas_64,0.22
231005_S59_obj_01_grasp_22,trial_0,mas_65,0.23
231005_S59_obj_01_grasp_22,trial_0,mas_66,0.22
231005_S59_obj_01_grasp_22,trial_0,mas_70,0.2
231005_S59_obj_01_grasp_22,trial_0,mas_73,0.25
231005_S59_obj_01_grasp_22,trial_0,mas_88,0.22
231005_S59_obj_01_grasp_22,trial_0,mas_89,0.22
231005_S59_obj_01_grasp_22,trial_0,mas_90,0.2
231005_S59_obj_01_grasp_22,trial_0,mas_91,0.23
231005_S59_obj_01_grasp_22,trial_0,mas_92,0.25
231005_S59_obj_01_grasp_22,trial_0,mas_93,0.3
231005_S59_obj_01_grasp_22,trial_0,mas_94,0.24
231005_S59_obj_01_grasp_22,trial_0,mas_95,0.25
231005_S59_obj_01_grasp_22,trial_0,mas_96,0.22
231005_S59_obj_01_grasp_22,trial_0,mas_97,0.22
231005_S59_obj_01_grasp_22,trial_0,sub1_70,0.24
231005_S59_obj_01_grasp_22,trial_0,sub1_71,0.28
231005_S59_obj_01_grasp_22,trial_0,sub2_41,0.37
231005_S59_obj_01_grasp_22,trial_0,sub2_70,0.29
231005_S59_obj_01_grasp_22,trial_0,sub3_5,0.3
231005_S59_obj_01_grasp_22,trial_0,sub3_6,0.27
231005_S59_obj_01_grasp_22,trial_0,sub3_7,0.27
231005_S59_obj_01_grasp_22,trial_0,sub3_8,0.28
231005_S59_obj_01_grasp_22,trial_0,sub3_10,0.35
231005_S59_obj_01_grasp_22,trial_0,sub3_11,0.36
231005_S59_obj_01_grasp_22,trial_0,sub3_12,0.36
231005_S59_obj_01_grasp_22,trial_0,sub3_13,0.35
231005_S59_obj_01_grasp_22,trial_0,sub3_15,0.35
231005_S59_obj_01_grasp_22,trial_0,sub3_17,0.38
231005_S59_obj_01_grasp_22,trial_0,sub3_19,0.38
231005_S59_obj_01_grasp_22,trial_0,sub3_20,0.38
231005_S59_obj_01_grasp_22,trial_0,sub3_21,0.36
231005_S59_obj_01_grasp_22,trial_0,sub3_22,0.31
231005_S59_obj_01_grasp_22,trial_0,sub3_23,0.3
231005_S59_obj_01_grasp_22,trial_0,sub3_24,0.32
231005_S59_obj_01_grasp_22,trial_0,sub3_25,0.34
231005_S59_obj_01_grasp_22,trial_0,sub3_26,0.33
231005_S59_obj_01_grasp_22,trial_0,sub3_27,0.32
231005_S59_obj_01_grasp_22,trial_0,sub3_28,0.33
231005_S59_obj_01_grasp_22,trial_0,sub3_29,0.32
231005_S59_obj_01_grasp_22,trial_0,sub3_30,0.32
231005_S59_obj_01_grasp_22,trial_0,sub3_31,0.35
231005_S59_obj_01_grasp_22,trial_0,sub3_32,0.35
231005_S59_obj_01_grasp_22,trial_0,sub3_41,0.39
231005_S59_obj_01_grasp_22,trial_0,sub3_44,0.39
231005_S59_obj_01_grasp_22,trial_0,sub3_52,0.38
231005_S59_obj_01_grasp_22,trial_0,sub3_54,0.35
231005_S59_obj_01_grasp_22,trial_0,sub3_56,0.34
231005_S59_obj_01_grasp_22,trial_0,sub3_57,0.39
231005_S59_obj_01_grasp_22,trial_0,sub3_58,0.36
231005_S59_obj_01_grasp_22,trial_0,sub3_61,0.35
231005_S59_obj_01_grasp_22,trial_0,sub3_63,0.38
231005_S59_obj_01_grasp_22,trial_0,sub3_64,0.34
231005_S59_obj_01_grasp_22,trial_0,sub3_65,0.32
231005_S59_obj_01_grasp_22,trial_0,sub3_66,0.26
231005_S59_obj_01_grasp_22,trial_0,sub3_70,0.35
231005_S59_obj_01_grasp_22,trial_0,sub3_73,0.32
231005_S59_obj_01_grasp_22,trial_0,sub3_76,0.36
231005_S59_obj_01_grasp_22,trial_0,sub3_89,0.29
231005_S59_obj_01_grasp_22,trial_0,sub3_90,0.34
231005_S59_obj_01_grasp_22,trial_0,sub3_91,0.35
231005_S59_obj_01_grasp_22,trial_0,sub3_92,0.36
231005_S59_obj_01_grasp_22,trial_0,sub3_93,0.39
231005_S59_obj_01_grasp_22,trial_0,sub3_94,0.37
231005_S59_obj_01_grasp_22,trial_0,sub3_95,0.32
231005_S59_obj_01_grasp_22,trial_0,sub3_96,0.29
231005_S59_obj_01_grasp_22,trial_0,sub3_97,0.3
231005_S59_obj_01_grasp_22,trial_1,mas_1,0.16
231005_S59_obj_01_grasp_22,trial_1,mas_2,0.17
231005_S59_obj_01_grasp_22,trial_1,mas_3,0.16
231005_S59_obj_01_grasp_22,trial_1,mas_4,0.17
231005_S59_obj_01_grasp_22,trial_1,mas_5,0.22
231005_S59_obj_01_grasp_22,trial_1,mas_6,0.23
231005_S59_obj_01_grasp_22,trial_1,mas_7,0.25
231005_S59_obj_01_grasp_22,trial_1,mas_8,0.25
231005_S59_obj_01_grasp_22,trial_1,mas_9,0.22
231005_S59_obj_01_grasp_22,trial_1,mas_10,0.26
231005_S59_obj_01_grasp_22,trial_1,mas_11,0.2
231005_S59_obj_01_grasp_22,trial_1,mas_14,0.18
231005_S59_obj_01_grasp_22,trial_1,mas_16,0.13
231005_S59_obj_01_grasp_22,trial_1,mas_17,0.15
231005_S59_obj_01_grasp_22,trial_1,mas_18,0.14
231005_S59_obj_01_grasp_22,trial_1,mas_19,0.15
231005_S59_obj_01_grasp_22,trial_1,mas_27,0.24
231005_S59_obj_01_grasp_22,trial_1,mas_32,0.26
231005_S59_obj_01_grasp_22,trial_1,mas_36,0.26
231005_S59_obj_01_grasp_22,trial_1,mas_49,0.25
231005_S59_obj_01_grasp_22,trial_1,mas_50,0.27
231005_S59_obj_01_grasp_22,trial_1,mas_52,0.25
231005_S59_obj_01_grasp_22,trial_1,mas_53,0.23
231005_S59_obj_01_grasp_22,trial_1,mas_55,0.24
231005_S59_obj_01_grasp_22,trial_1,mas_57,0.22
231005_S59_obj_01_grasp_22,trial_1,mas_60,0.31
231005_S59_obj_01_grasp_22,trial_1,mas_61,0.3
231005_S59_obj_01_grasp_22,trial_1,mas_67,0.34
231005_S59_obj_01_grasp_22,trial_1,mas_71,0.2
231005_S59_obj_01_grasp_22,trial_1,mas_72,0.2
231005_S59_obj_01_grasp_22,trial_1,mas_78,0.27
231005_S59_obj_01_grasp_22,trial_1,mas_80,0.26
231005_S59_obj_01_grasp_22,trial_1,mas_81,0.32
231005_S59_obj_01_grasp_22,trial_1,mas_82,0.32
231005_S59_obj_01_grasp_22,trial_1,mas_83,0.29
231005_S59_obj_01_grasp_22,trial_1,mas_84,0.33
231005_S59_obj_01_grasp_22,trial_1,mas_85,0.29
231005_S59_obj_01_grasp_22,trial_1,mas_86,0.28
231005_S59_obj_01_grasp_22,trial_1,mas_87,0.29
231005_S59_obj_01_grasp_22,trial_1,mas_88,0.26
231005_S59_obj_01_grasp_22,trial_1,mas_89,0.23
231005_S59_obj_01_grasp_22,trial_1,mas_90,0.25
231005_S59_obj_01_grasp_22,trial_1,mas_91,0.21
231005_S59_obj_01_grasp_22,trial_1,mas_92,0.23
231005_S59_obj_01_grasp_22,trial_1,mas_93,0.24
231005_S59_obj_01_grasp_22,trial_1,mas_103,0.26
231005_S59_obj_01_grasp_22,trial_1,mas_104,0.22
231005_S59_obj_01_grasp_22,trial_1,mas_105,0.26
231005_S59_obj_01_grasp_22,trial_1,mas_107,0.26
231005_S59_obj_01_grasp_22,trial_1,mas_109,0.24
231005_S59_obj_01_grasp_22,trial_1,mas_110,0.19
231005_S59_obj_01_grasp_22,trial_1,mas_111,0.21
231005_S59_obj_01_grasp_22,trial_1,mas_112,0.2
231005_S59_obj_01_grasp_22,trial_1,mas_115,0.25
231005_S59_obj_01_grasp_22,trial_1,sub1_14,0.27
231005_S59_obj_01_grasp_22,trial_1,sub1_16,0.28
231005_S59_obj_01_grasp_22,trial_1,sub1_17,0.27
231005_S59_obj_01_grasp_22,trial_1,sub1_18,0.27
231005_S59_obj_01_grasp_22,trial_1,sub1_19,0.28
231005_S59_obj_01_grasp_22,trial_1,sub1_30,0.24
231005_S59_obj_01_grasp_22,trial_1,sub1_32,0.27
231005_S59_obj_01_grasp_22,trial_1,sub1_33,0.29
231005_S59_obj_01_grasp_22,trial_1,sub1_36,0.28
231005_S59_obj_01_grasp_22,trial_1,sub1_60,0.26
231005_S59_obj_01_grasp_22,trial_1,sub1_61,0.26
231005_S59_obj_01_grasp_22,trial_1,sub1_63,0.38
231005_S59_obj_01_grasp_22,trial_1,sub1_67,0.27
231005_S59_obj_01_grasp_22,trial_1,sub1_68,0.26
231005_S59_obj_01_grasp_22,trial_1,sub1_69,0.3
231005_S59_obj_01_grasp_22,trial_1,sub1_71,0.32
231005_S59_obj_01_grasp_22,trial_1,sub1_72,0.32
231005_S59_obj_01_grasp_22,trial_1,sub1_73,0.31
231005_S59_obj_01_grasp_22,trial_1,sub1_115,0.32
231005_S59_obj_01_grasp_22,trial_1,sub2_14,0.33
231005_S59_obj_01_grasp_22,trial_1,sub2_15,0.33
231005_S59_obj_01_grasp_22,trial_1,sub2_16,0.34
231005_S59_obj_01_grasp_22,trial_1,sub2_17,0.34
231005_S59_obj_01_grasp_22,trial_1,sub2_18,0.38
231005_S59_obj_01_grasp_22,trial_1,sub2_19,0.39
231005_S59_obj_01_grasp_22,trial_1,sub2_27,0.37
231005_S59_obj_01_grasp_22,trial_1,sub2_30,0.39
231005_S59_obj_01_grasp_22,trial_1,sub2_32,0.32
231005_S59_obj_01_grasp_22,trial_1,sub2_33,0.38
231005_S59_obj_01_grasp_22,trial_1,sub2_36,0.36
231005_S59_obj_01_grasp_22,trial_1,sub2_60,0.38
231005_S59_obj_01_grasp_22,trial_1,sub2_61,0.36
231005_S59_obj_01_grasp_22,trial_1,sub2_67,0.28
231005_S59_obj_01_grasp_22,trial_1,sub2_68,0.18
231005_S59_obj_01_grasp_22,trial_1,sub2_69,0.33
231005_S59_obj_01_grasp_22,trial_1,sub2_71,0.37
231005_S59_obj_01_grasp_22,trial_1,sub2_72,0.3
231005_S59_obj_01_grasp_22,trial_1,sub2_73,0.27
231005_S59_obj_01_grasp_22,trial_1,sub2_115,0.35
231005_S59_obj_01_grasp_22,trial_1,sub3_3,0.33
231005_S59_obj_01_grasp_22,trial_1,sub3_4,0.29
231005_S59_obj_01_grasp_22,trial_1,sub3_5,0.27
231005_S59_obj_01_grasp_22,trial_1,sub3_6,0.3
231005_S59_obj_01_grasp_22,trial_1,sub3_7,0.37
231005_S59_obj_01_grasp_22,trial_1,sub3_8,0.39
231005_S59_obj_01_grasp_22,trial_1,sub3_9,0.36
231005_S59_obj_01_grasp_22,trial_1,sub3_10,0.36
231005_S59_obj_01_grasp_22,trial_1,sub3_11,0.37
231005_S59_obj_01_grasp_22,trial_1,sub3_12,0.36
231005_S59_obj_01_grasp_22,trial_1,sub3_17,0.27
231005_S59_obj_01_grasp_22,trial_1,sub3_18,0.3
231005_S59_obj_01_grasp_22,trial_1,sub3_19,0.31
231005_S59_obj_01_grasp_22,trial_1,sub3_32,0.33
231005_S59_obj_01_grasp_22,trial_1,sub3_36,0.28
231005_S59_obj_01_grasp_22,trial_1,sub3_60,0.35
231005_S59_obj_01_grasp_22,trial_1,sub3_61,0.37
231005_S59_obj_01_grasp_22,trial_1,sub3_66,0.33
231005_S59_obj_01_grasp_22,trial_1,sub3_67,0.33
231005_S59_obj_01_grasp_22,trial_1,sub3_68,0.32
231005_S59_obj_01_grasp_22,trial_1,sub3_69,0.24
231005_S59_obj_01_grasp_22,trial_1,sub3_70,0.24
231005_S59_obj_01_grasp_22,trial_1,sub3_71,0.32
231005_S59_obj_01_grasp_22,trial_1,sub3_72,0.32
231005_S59_obj_01_grasp_22,trial_1,sub3_75,0.33
231005_S59_obj_01_grasp_22,trial_1,sub3_77,0.33
231005_S59_obj_01_grasp_22,trial_1,sub3_78,0.32
231005_S59_obj_01_grasp_22,trial_1,sub3_79,0.32
231005_S59_obj_01_grasp_22,trial_1,sub3_80,0.35
231005_S59_obj_01_grasp_22,trial_1,sub3_81,0.33
231005_S59_obj_01_grasp_22,trial_1,sub3_82,0.33
231005_S59_obj_01_grasp_22,trial_1,sub3_83,0.35
231005_S59_obj_01_grasp_22,trial_1,sub3_84,0.34
231005_S59_obj_01_grasp_22,trial_1,sub3_86,0.32
231005_S59_obj_01_grasp_22,trial_1,sub3_87,0.36
